year,,january,february,march,april,may,june,july,august,september,october,november,december
1957,,12,21,16,25,29,28,32,31,29,20,28,25
1958,,19,20,20,29,34,27,22,28,29,25,24,28
1959,,26,26,15,20,25,26,42,41,27,26,28,29
1960,,29,29,25,35,28,35,40,35,29,27,31,29
1961,,31,19,36,27,38,38,29,38,31,21,26,28
1962,,35,34,33,17,26,41,35,33,34,24,34,39
1963,,22,23,29,25,24,36,28,39,43,32,34,26
1964,,20,30,34,24,39,39,50,26,38,36,27,28
1965,,31,25,34,36,27,27,40,50,27,33,27,38
1966,,40,30,31,40,28,26,72,52,53,54,35,49
1967,,48,41,50,42,41,52,49,37,50,49,43,50
1968,,43,44,47,51,58,45,46,64,55,68,63,63
1969,,39,37,45,63,71,61,68,67,68,60,66,71
1970,,71,68,61,73,72,72,76,76,66,60,64,52
1971,,54,61,61,82,71,81,69,71,67,79,60,68
1972,,53,54,57,56,51,55,73,69,62,59,60,62
1973,,63,68,81,63,79,80,93,76,73,49,69,70
1974,,65,63,63,76,82,82,83,79,74,98,117,88
1975,,75,62,73,59,71,68,76,57,71,54,84,68
1976,,74,73,87,55,62,72,85,56,67,69,57,57
1977,,53,72,68,62,65,60,66,81,97,68,65,66
1978,,47,49,78,63,55,68,70,62,74,61,72,88
1979,,63,62,84,64,71,77,76,82,58,95,67,58
1980,,57,62,52,68,73,66,87,91,75,85,69,78
1981,,67,64,71,53,72,82,84,97,69,71,68,79
1982,,63,47,44,61,67,53,68,68,51,48,50,50
1983,,53,50,57,48,56,56,78,79,69,62,60,61
1984,,61,58,50,44,74,76,60,79,67,69,62,48
1985,,46,49,48,53,43,52,77,64,66,52,48,69
1986,,51,38,59,63,59,74,92,71,57,57,70,56
1987,,52,44,45,59,66,61,48,66,64,58,49,80
1988,,39,45,55,49,63,52,61,70,76,53,49,52
1989,,57,60,55,62,54,68,59,58,63,72,69,72
1990,,66,56,57,60,78,90,75,80,83,82,68,59
1991,,75,56,69,75,65,82,81,122,85,74,69,75
1992,,78,61,62,85,83,82,90,95,109,74,65,59
1993,,65,59,58,69,50,72,99,86,83,71,79,64
1994,,66,69,88,82,85,87,81,80,70,77,78,68
1995,,65,54,66,60,75,73,72,83,72,77,59,72
1996,,62,50,55,60,62,90,82,85,56,85,48,61
1997,,61,40,49,64,52,67,77,78,68,79,60,66
1998,,51,42,57,54,65,65,64,71,56,56,62,61
1999,,55,40,41,52,60,71,54,71,55,44,57,43
2000,,46,39,42,35,48,56,77,68,60,56,60,46
2001,,42,27,37,59,42,69,78,58,71,71,64,49
2002,,45,32,42,43,51,66,68,77,67,57,38,70
2003,,39,30,52,57,59,51,68,48,51,52,51,43
2004,,29,36,43,30,34,46,53,53,33,34,32,30
2005,,20,24,37,36,43,50,58,53,32,39,29,30
2006,,27,17,34,37,41,45,65,32,57,41,43,33
2007,,26,22,41,36,34,47,44,47,49,38,30,34
2008,,34,20,33,47,42,52,62,48,55,50,40,30
2009,,25,25,20,40,47,45,57,48,43,37,36,36
2010,,22,22,31,46,46,49,42,57,30,36,33,23
2011,,28,24,23,30,38,45,55,35,39,45,37,37
2012,,38,28,52,41,51,45,50,55,44,39,37,23
2013,,41,13,18,24,47,42,48,52,41,31,26,36
2014,,21,20,22,35,43,35,40,50,42,33,36,38
2015,,29,19,34,35,47,47,50,50,6,,,